Folder Name,Video Recording Link
251228_Pavan_Kvest for the Best,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21s9768d7423b904b969904136f0dc4a1e0&parId=46AC280CA35DB7D4%21sc1ddc9b834f64a8fa4996a489a5920ce&o=OneUp
260104_Naman_Avval Number,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21s7f2dc2133e794ac5ab5dc282e30a0796&parId=46AC280CA35DB7D4%21sca9d6b6e7b844270b3d1c7908a8f2d3f&o=OneUp
260124_Popcorn Buzzing with Aditi,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21s255d4f1c93994b04aa30a196d761d18d&parId=46AC280CA35DB7D4%21sdf5bf543d358443e98ec53e85f5d3067&o=OneUp
260425_Moviez Quiz_Bijal,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21s220dcbb824b94be6aefad767c51bb2ff&parId=46AC280CA35DB7D4%21s4afd802c098b4e52bb63d6d0d8546abe&o=OneUp
260503_Buzzer taken quickly_Bhide,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21sa5b4cf547ba441ca9ca21aef7a1fa70e&parId=46AC280CA35DB7D4%21sdbf2f4b5b6644a6fb1e6466a5a718906&o=OneUp
260503_May the 4th Quiz_Bljal,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21s003f4cea27a848fda1ae83dfdb773062&parId=46AC280CA35DB7D4%21sc3a662c4e63a4e14a806b238a29e4009&o=OneUp
260509_Tension_Gourav,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21s5b9bdba3188742b79aedc0e33937fb7b&parId=46AC280CA35DB7D4%21sbaf13b25168c4c6bb0600ca9aa88bcb1&o=OneUp
260516_Buzzy Mushkil Hai_QM Bijal,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21s63475a2c4e62413aa2286224f5f9e5b9&parId=46AC280CA35DB7D4%21sa1f356402e4f498d85db1540f759908f&o=OneUp
260628_History Quiz,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21sfe8129cdadf54640a027228d34258b7b&parId=46AC280CA35DB7D4%21sc7273c4b9a514d5db3b31d4d29aa344e&o=OneUp
260705_Sports and cricket quiz-QM Tap,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2YvYy80NmFjMjgwY2EzNWRiN2Q0L0lnQXEtZ2ZQOG04NVI1eUJCU3c5YWZRb0FhVUx2UTJpTl9WMWVzSGxsMDduOGtFP2U9Mll3ZXlH&cid=46AC280CA35DB7D4&sb=name&sd=1&id=46AC280CA35DB7D4%21s00c5118f46774bd0ad2145b12dcc9df7&parId=46AC280CA35DB7D4%21s56ff7da5a1cf4c54b1d87379622007e9&o=OneUp
